sonar_rule,sonar_type,issues
java:S106,CODE_SMELL,13
java:S1066,CODE_SMELL,1
java:S112,CODE_SMELL,4
java:S1126,CODE_SMELL,5
java:S1135,CODE_SMELL,2
java:S1144,CODE_SMELL,32
java:S1149,CODE_SMELL,2
java:S1168,CODE_SMELL,10
java:S117,CODE_SMELL,5
java:S1172,CODE_SMELL,10
java:S1192,CODE_SMELL,1
java:S1197,CODE_SMELL,5
java:S1206,BUG,1
java:S125,CODE_SMELL,2
java:S135,CODE_SMELL,2
java:S1481,CODE_SMELL,1
java:S1488,CODE_SMELL,9
java:S1604,CODE_SMELL,1
java:S1659,CODE_SMELL,1
java:S1854,CODE_SMELL,409
java:S1905,CODE_SMELL,1
java:S2129,CODE_SMELL,2
java:S2189,BUG,1
java:S2259,BUG,1
java:S2293,CODE_SMELL,2
java:S3012,CODE_SMELL,8
java:S3626,CODE_SMELL,1
java:S3740,CODE_SMELL,1
java:S3776,CODE_SMELL,8
java:S5738,CODE_SMELL,1
java:S6201,CODE_SMELL,3
java:S6208,CODE_SMELL,2
python:S1066,CODE_SMELL,1
python:S112,CODE_SMELL,3
python:S117,CODE_SMELL,8
python:S1172,CODE_SMELL,44
python:S1192,CODE_SMELL,1
python:S1226,BUG,3
python:S1481,CODE_SMELL,18
python:S1542,CODE_SMELL,14
python:S1656,BUG,4
python:S1854,CODE_SMELL,12
python:S1862,BUG,2
python:S1871,CODE_SMELL,2
python:S2190,BUG,3
python:S2275,BUG,1
python:S3358,CODE_SMELL,1
python:S3457,CODE_SMELL,1
python:S3776,CODE_SMELL,13
python:S3923,BUG,1
python:S5603,CODE_SMELL,1
python:S5756,BUG,1
python:S5806,CODE_SMELL,1
python:S5855,BUG,1
python:S5869,CODE_SMELL,2
python:S6326,CODE_SMELL,1
python:S6353,CODE_SMELL,2
python:S6395,CODE_SMELL,1
python:S6397,CODE_SMELL,1
python:S930,BUG,1
